id,label,type,title,tags,score,recommendation,evidence_level,workflow_stage,review_type,tracking_status,partnership_type
asset::ilm01_(gaia-aβ),ILM01 (GAIA-Aβ),asset,Asset__ILM01_(GAIA-Aβ),pipeline/asset;theme/neuroimmune,15,Shortlist,E3,,,,
review::illimis_therapeutics_ilm01_20260621,Full Scout — ILM01 (GAIA-Aβ),review,Review__Illimis_Therapeutics_ILM01_20260621,pipeline/review;workflow/full_scout,15,Shortlist,E3,Full Scout,Full Scout,,
company::illimis_therapeutics,Illimis Therapeutics,company,Company__Illimis_Therapeutics,pipeline/company,,,,,,,
"target::amyloid-β,_especially_oligomeric_aβ;_tam_receptors_tyro3_axl_mertk_as_t_ba5985eb","Amyloid-β, especially oligomeric Aβ; TAM receptors Tyro3/Axl/MerTK as the effector axis",target,"Target__Amyloid-β,_especially_oligomeric_Aβ;_TAM_receptors_Tyro3_Axl_MerTK_as_t_ba5985eb",pipeline/target,,,,,,,
moa::aβ_binding_plus_engineered_gas6-mediated_tam_receptor_clustering_activa_103fe530,Aβ binding plus engineered GAS6-mediated TAM receptor clustering activates efferocytosis/phagocytosis in glia while using an effector-silenced Fc to reduce FcγR-driven inflammatory signaling.,moa,MoA__Aβ_binding_plus_engineered_GAS6-mediated_TAM_receptor_clustering_activa_103fe530,pipeline/moa,,,,,,,
modality::protein_biologic,Protein biologic,modality,Modality__Protein_biologic,pipeline/modality,,,,,,,
indication::early_symptomatic_alzheimer's_disease;_exact_intended_clinical_populati_44d70da0,Early symptomatic Alzheimer's disease; exact intended clinical population has not been publicly finalized,indication,Indication__Early_symptomatic_Alzheimer's_disease;_exact_intended_clinical_populati_44d70da0,pipeline/indication,,,,,,,
theme::neuroimmune,Neuroimmune,theme,Theme__Neuroimmune,skbp/theme,,,,,,,
cluster::교세포_향상성,교세포 향상성,cluster,Cluster__교세포_향상성,skbp/cluster,,,,,,,
scorecard::illimis_therapeutics_ilm01_20260621,Scorecard - ILM01 (GAIA-Aβ),scorecard,Scorecard__ILM01_(GAIA-Aβ)__Illimis_Therapeutics_ILM01_20260621,pipeline/scorecard,15,Shortlist,E3,,,,
competitor::eisai_biogen_leqembi_(lecanemab),Leqembi (lecanemab),competitor,Competitor__Eisai_Biogen__Leqembi_(lecanemab),pipeline/competitor,,,,,,,
competitor::eli_lilly_kisunla_(donanemab),Kisunla (donanemab),competitor,Competitor__Eli_Lilly__Kisunla_(donanemab),pipeline/competitor,,,,,,,
competitor::eli_lilly_remternetug_(ly3372993),Remternetug (LY3372993),competitor,Competitor__Eli_Lilly__Remternetug_(LY3372993),pipeline/competitor,,,,,,,
competitor::roche_trontinemab,Trontinemab,competitor,Competitor__Roche__Trontinemab,pipeline/competitor,,,,,,,
competitor::acumen_pharmaceuticals_sabirnetug_(acu193),Sabirnetug (ACU193),competitor,Competitor__Acumen_Pharmaceuticals__Sabirnetug_(ACU193),pipeline/competitor,,,,,,,
source::illimis_therapeutics_company_intro_ncdp_202601_skbp_share,Illimis Therapeutics Company Intro_NCDP_202601_SKBP_share,source,Source__Illimis_Therapeutics_Company_Intro_NCDP_202601_SKBP_share,pipeline/source;source/other,,,E3,,,,
source::https_illimistx.com_en,Illimis Therapeutics official website,source,Source__Illimis_Therapeutics_official_website,pipeline/source;source/official_company,,,E3,,,,
source::https_illimistx.com_en_sub_platform%26pipeline_pipeline.php,Illimis official pipeline,source,Source__Illimis_official_pipeline,pipeline/source;source/other,,,E0,,,,
source::https_illimistx.com_en_sub_platform%26pipeline_platform.php,Illimis GAIA platform description,source,Source__Illimis_GAIA_platform_description,pipeline/source;source/official_company_platform,,,E0,,,,
source::https_illimistx.com_en_sub_investor%26media_news.php_bid=16&idx=282&mod_5a2ae7b8,Illimis Therapeutics $42M Series B press release,source,Source__Illimis_Therapeutics_$42M_Series_B_press_release,pipeline/source;source/official_company_press_release,,,E3,,,,
source::https_illimistx.com_en_sub_platform%26pipeline_conference.php,Illimis Therapeutics conference presentations,source,Source__Illimis_Therapeutics_conference_presentations,pipeline/source;source/official_company_conference_page,,,E3,,,,
